canale,famiglia,classe_abc,data_doc,qta,prezzo_medio,sconti,fatturato,costo_unitario,margine,lead_time,rotazione_magazzino,giacenza_media,ritardo_consegna
Estero,Torniti,C,2025-03-23,12,6.52,0.125,68.46,4.46,14.94,17,3.81,5.46,1
B2B,Torniti,A,2026-01-06,138,5.5,0.232,582.91,2.76,202.03,16,5.01,33.85,0
B2B,Viteria,B,2026-01-06,52,1.86,0.172,80.08,1.26,14.56,8,7.28,3.53,-3
Retail,Torniti,B,2025-10-08,11,7.12,0.141,67.28,4.39,18.99,12,6.31,3.09,-2
B2B,Assemblati,A,2025-12-17,9,16.45,0.241,112.37,10.59,17.06,22,13.22,2.84,0
B2B,Assemblati,C,2025-08-31,11,19.3,0.165,177.27,15.47,7.1,27,2.8,27.52,2
Retail,Lamiere,A,2025-09-20,14,12.69,0.191,143.73,8.89,19.27,15,10.09,4.73,-4
Estero,Viteria,C,2025-11-20,21,1.93,0.172,33.56,1.01,12.35,15,4.43,1.87,2
B2B,Torniti,C,2025-02-04,75,5.53,0.159,348.8,3.22,107.3,16,2.53,29.51,1
B2B,Lamiere,C,2025-04-12,9,8.88,0.13,69.53,6.23,13.46,21,4.33,7.06,-1
Retail,Viteria,C,2025-04-06,242,2.72,0.079,606.24,1.87,153.7,3,4.26,46.08,-4
Estero,Viteria,C,2025-09-09,10,3.03,0.141,26.03,1.83,7.73,14,3.34,2.49,-2
B2B,Viteria,B,2025-04-20,6,2.35,0.17,11.7,1.21,4.44,9,10.43,0.18,-4
B2B,Lamiere,B,2025-06-13,133,13.04,0.202,1383.99,9.63,103.2,14,7.19,81.91,-1
B2B,Viteria,C,2025-07-21,92,1.53,0.168,117.11,0.98,26.95,7,1.95,17.47,-1
B2B,Viteria,C,2025-10-20,20,1.68,0.168,27.96,0.89,10.16,15,4.95,2.54,2
B2B,Viteria,B,2025-07-29,36,2.34,0.173,69.67,1.48,16.39,7,4.77,2.93,0
Retail,Assemblati,B,2025-01-30,37,12.72,0.158,396.28,9.39,48.85,19,7.93,12.39,4
B2B,Viteria,B,2025-09-29,28,1.64,0.196,36.92,1.0,8.92,9,6.65,1.18,0
B2B,Viteria,B,2025-06-27,7,2.16,0.178,12.43,1.27,3.54,6,2.38,1.38,-3
Retail,Lamiere,A,2025-03-04,2,11.29,0.187,18.36,7.4,3.56,16,12.36,0.66,5
Retail,Viteria,B,2025-09-16,11,2.5,0.149,23.4,1.52,6.68,5,5.55,1.16,-2
B2B,Assemblati,A,2025-04-30,151,19.78,0.227,2308.78,14.52,116.26,23,8.51,108.01,-3
Retail,Assemblati,C,2025-07-09,157,15.64,0.106,2195.2,11.75,350.45,20,3.02,273.73,1
Retail,Lamiere,C,2026-01-10,19,15.33,0.129,253.7,9.11,80.61,22,4.61,13.17,-3
Retail,Lamiere,C,2025-04-18,9,12.85,0.119,101.89,8.87,22.06,16,2.54,13.0,0
B2B,Lamiere,C,2025-12-11,32,13.32,0.152,361.45,9.32,63.21,17,5.17,28.35,-1
B2B,Viteria,A,2025-07-10,38,2.13,0.245,61.11,1.34,10.19,11,5.88,3.46,1
Estero,Viteria,A,2025-12-28,45,2.19,0.209,77.95,1.32,18.55,8,11.09,1.61,2
B2B,Viteria,C,2025-11-28,2,1.83,0.14,3.15,1.24,0.67,13,4.59,0.28,-1
B2B,Viteria,C,2025-11-21,577,1.93,0.119,981.09,1.3,230.99,5,4.55,68.32,-2
B2B,Torniti,C,2025-04-07,76,4.84,0.155,310.82,2.83,95.74,18,3.73,37.0,2
Retail,Viteria,C,2025-11-06,20,2.23,0.114,39.52,1.38,11.92,10,3.26,4.2,-2
Estero,Viteria,C,2025-06-05,12,1.62,0.129,16.93,1.05,4.33,10,2.89,1.67,0
B2B,Lamiere,C,2025-12-20,66,15.53,0.132,889.68,11.36,139.92,17,2.28,109.56,2
Estero,Lamiere,C,2026-01-18,40,15.66,0.131,544.34,10.14,138.74,22,2.75,81.95,-1
B2B,Viteria,C,2025-09-02,27,2.13,0.177,47.33,1.23,14.12,90,2.5,8.41,8
Retail,Viteria,A,2025-12-21,39,3.45,0.208,106.56,2.18,21.54,3,6.74,4.32,-1
Retail,Viteria,A,2025-08-04,22,2.07,0.189,36.93,1.19,10.75,6,18.8,0.39,2
B2B,Viteria,B,2025-02-03,37,1.57,0.231,44.67,0.85,13.22,7,3.29,2.2,-4
B2B,Assemblati,B,2025-12-07,51,16.48,0.244,635.4,11.32,58.08,19,8.9,17.61,0
B2B,Assemblati,C,2025-08-03,35,12.06,0.14,363.01,8.88,52.21,19,2.27,40.39,4
Estero,Lamiere,B,2025-02-07,33,9.02,0.165,248.55,6.69,27.78,22,4.2,16.44,3
Retail,Lamiere,B,2025-02-14,99,17.52,0.154,1467.37,11.42,336.79,16,4.17,68.09,0
Estero,Torniti,C,2025-10-12,5,5.04,0.112,22.38,3.0,7.38,16,2.37,2.81,0
Retail,Torniti,B,2025-12-25,11,,0.157,57.59,3.76,16.23,12,8.29,3.01,1
B2B,Viteria,C,2025-10-03,25,1.75,0.152,37.1,1.04,11.1,6,4.3,1.9,0
Retail,Viteria,A,2025-07-02,12,2.03,0.197,19.56,1.2,5.16,10,9.22,0.75,3
B2B,Lamiere,B,2025-05-14,17,14.97,0.178,209.19,10.38,32.73,18,15.48,2.18,3
B2B,Torniti,B,2025-06-23,89,6.6,0.174,485.19,3.64,161.23,17,5.96,27.93,-3
Retail,Viteria,B,2025-05-19,21,1.84,0.1,34.78,1.08,12.1,1,6.13,2.45,-6
Retail,Viteria,A,2025-05-01,4,2.87,0.22,8.95,1.76,1.91,0,7.87,0.27,-3
B2B,Viteria,B,2025-03-09,16,2.16,0.209,27.34,1.37,5.42,10,4.53,2.38,-5
B2B,Viteria,B,2025-08-17,26,1.26,0.203,26.11,0.7,7.91,8,4.98,0.92,3
Retail,Lamiere,B,2025-04-11,26,15.98,0.147,354.4,10.78,74.12,14,8.08,11.29,-4
Estero,Torniti,C,2025-03-15,43,5.98,0.084,235.54,3.28,94.5,18,4.27,8.39,0
Retail,Lamiere,A,2025-05-02,39,12.46,0.175,400.9,8.13,83.83,18,15.71,6.55,-2
B2B,Viteria,B,2025-11-09,21,2.87,0.185,49.12,1.87,9.85,4,4.67,2.56,-5
B2B,Viteria,A,2025-08-19,7,1.86,0.218,10.18,1.15,2.13,10,12.29,0.3,2
B2B,Assemblati,C,2025-07-20,16,17.05,0.116,241.16,13.41,26.6,23,3.89,14.78,0
Retail,Lamiere,C,2025-08-26,13,15.32,0.08,183.23,10.37,48.42,15,4.07,17.87,5
Estero,Viteria,C,2025-08-16,18,2.46,0.131,38.48,1.62,9.32,11,2.59,3.53,3
B2B,Viteria,C,2025-07-22,49,1.51,0.151,62.82,0.98,14.8,8,2.43,5.61,-1
B2B,Assemblati,B,2025-11-24,37,15.76,0.208,461.83,11.34,42.25,27,7.25,19.01,-4
B2B,Torniti,C,2025-10-15,56,7.66,0.191,347.03,4.19,112.39,15,4.75,25.35,-1
Retail,Assemblati,B,2025-03-30,17,15.4,0.154,221.48,11.02,34.14,17,4.83,19.1,6
Retail,Torniti,C,2025-11-16,111,10.41,0.096,1044.58,6.02,376.36,11,4.33,95.06,1
B2B,Lamiere,B,2025-03-26,48,8.03,0.226,298.33,5.28,44.89,15,9.13,10.04,0
B2B,Lamiere,B,2025-02-19,27,11.28,0.158,256.44,7.74,47.46,12,5.29,21.5,-2
Retail,Viteria,C,2025-06-24,45,1.51,0.058,64.01,0.85,25.76,3,2.12,7.21,1
B2B,Torniti,C,2025-06-14,12,4.99,0.132,51.98,2.82,18.14,14,2.21,10.58,1
